Anmerkungen,Ort Motiv,Koordinaten Motiv,Jahr Motiv,Titel,Untertitel,Ort Verlag,Verlag,Nummer,Schlagwörter,Mitarbeiter/Fotograf,Absendeort,Absendeort Koordinaten,Empfangsort,Empfangsort Koordinaten,Anzahl Menschen,Jahr Motiv bereinigt,Land
,Straßberg,"51.615467,11.048589",1966,Straßberg (Kreis Quedlinburg),Polytechnische Oberschule,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),III/18/6 A 1/B 368/66 8/3371,1960er; 1966; Bezirk Halle; Detail - Denkmal; Detail - Denkmal - Gefallenendenkmal; Detail - Fenster - offen; Detail - Uhr; Detail - Zaun - Lattenzaun; Kreis Quedlinburg; Menschen - 1; Natur - Baum - Birke; Natur - Bäume; Natur - Bäume - beschnitten; Ort - Straßberg Kreis Quedlinburg; Ort - Straßberg Kreis Quedlinburg - Polytechnische Oberschule; Schule; Schule - Ort - Straßberg - Polytechnische Oberschule; Schule - Typ - Polytechnische Oberschule; Städtmöbel - Sitzbänke; Tätigkeit - Sitzen; Tätigkeit - Sitzen - im Schatten; Tätigkeit - Sitzen - untem Baum; Uhrzeit - 15:25; ungelaufen,Pingel (Heiligenstadt),o.A.,,o.A.,,1,1966,Germany
,Strausberg,"52.580833333333,13.881388888889",1961,Strausberg bei Berlin - HOG Nord,,,Verlag Konsum  FOKU Magdeburg,IV-14-45 N 2/61 J 137,"1960er; 1961; Archigrafie; Archigrafie - HOG Nord; Architektur - Stil - Nationale Tradition; Baudetail - Blitzableiter; Baudetail - Dachrinne; Baudetail - Tür - offen; Bezirk Frankfurt Oder; Briefmarke - 1963 - II. Weltmeisterschaftslauf im Motocross in Apolda, III. Weltmeisterschaftslauf für Motorräder 1963 auf dem Sachsenring - Motorradrennen, 125-cm³-Klasse; Detail - Antennen; Detail - Fahnen; Detail - Lüftung; Gastronomie - Art - HO-Gaststätte; Gastronomie - Ort - Strausberg - HOG Nord Strausberg; gelaufen 1963; Kreis Strausberg; nach: Obercarsdorf; Nachricht - An die Eltern; Nachricht - Dank - für Päckchen; Nachricht - LPG; Name - Helmut; Name - Henry; Natur - Stadtnatur - verwildert; Ort - Strausberg; Ort - Strausberg - HOG Nord; Per - Helmut Mehnert; Stempel - Sonderstempel - VEB Fahrgastschiffahrt MS Bertolt Brecht Weiße Flotte Berlin; Stempel - Tagesstempel - Berlin-Treptow k; Verkehr - Auto; von: Berlin-Treptow",,Berlin-Treptow,"52.484167,13.479444",Obercarsdorf,"50.862777777778,13.656944444444",1,1961,Germany
,Strausberg,"52.580833333333,13.881388888889",1968,"Strausberg b. Berlin. Haus der Nationalen Volksarmee ""Club am See""",,Berlin,Graphokopie H. Sander KG 1071 Berlin,B 8/68 Best.-Nr. F. 2953,1960er; 1968; Architektur; Architektur - Stil - Ostmoderne; Bezirk Frankfurt Oder; Kreis Strausberg; Kulturhaus; NVA; Ort - Strausberg,,o.A.,,o.A.,,1,1968,Germany
,Strausberg,"52.580833333333,13.881388888889",1968,Strausberg b. Berlin. Kaufhalle in der Philipp-Müller-Straße,,Berlin,Graphokopie H.  Sander KG 1071 Berlin,B 8/68 Best.-Nr. F. 2955,1960er; 1968; Architektur; Bautyp - Neubauten; Bezirk Frankfurt Oder; Einzelhandel - Art - Kaufhalle; Handel; Kreis Strausberg; Menschen - Kind; Ort - Strausberg; Ort - Strausberg - Philipp-Müller-Straße; Straße - Philipp-Müller-Straße - Strausberg,,o.A.,,o.A.,,1,1968,Germany
,Strausberg,"52.580833333333,13.881388888889",1968,"Strausberg b. Berlin. V. Polyt. Oberschule ""Valentina Nikolajewa Tereschkowa""",,Berlin,Graphokopie H. Sander KG 1071 Berlin,B 8/68 Best.-Nr. F. 2385,"1960er; 1968; Architektur; Bautyp - Neubauten; Bezirk Frankfurt Oder; Kreis Strausberg; Ort - Strausberg; Schule; Schule - Ort - Strausberg - Oberschule ""Valentina Nikolajewa Tereschkowa""; Schule - Typ - Polytechnische Oberschule",,o.A.,,o.A.,,1,1968,Germany
,Strausberg,"52.580833333333,13.881388888889",1969,Strausberg bei Berlin // Am Straus-See,,Berlin,Graphokopie H.  Sander KG 1071 Berlin,B 8/69 B 1952,1960er; 1969; Bautyp - Altbauten; Bezirk Frankfurt Oder; Detail - Boot; Detail - Boot - Segelboot; Kreis Strausberg; Natur - Bäume; Natur - Ufer; Ort - Strausberg; Ort - Strausberg - Am Straus-See; Paar; Parkanlage; See; See - Straussee; Stadtmöbel - Sitzbänke; Tätigkeit - Sitzen,,o.A.,,o.A.,,1,1969,Germany
,Strausberg,"52.580833333333,13.881388888889",1972,Strausberg,"V. Polytechnische Oberschule // ""Valentina Nikolajewa-Tereschkowa""",Berlin,Graphokopie H. Sander KG 1071 Berlin,B 8/72 Best.-Nr. B 2954,"1970er; Architektur - Stil - Typenbauweise; Baudetail - Balkone; Baudetail - Vordach; Bezirk Frankfurt Oder; Briefmarke - 1961 - Dauermarkenserie: Staatsratsvorsitzender Walter Ulbricht, 10 Pf. (grün) (Ersttag 29.08.1961); gelaufen 1970er; gelaufen 1972; Jahreszeit - Sommer; Kleidung - Hemd - auf dem Balkon; Kleidung - Rock; Kreis Strausberg; Menschen - Personen - 6; nach: Bad Saarow; Nachricht - An den Vater; Nachricht - Ankunftsbestätigung; Nachricht - Besuchsankündigung; Nachricht - Gesundheit - Besserung; Nachricht - Ort - Strausberg; Name - Günter; Name - Hildegard; Name - Petra; Name - Siegfried; Natur - Stadtnatur; Ort - Strausberg; Ort - Strausberg - V. Polytechnische Oberschule ""Valentina Nikolajewa-Tereschkowa; Per - Siegfried Erdmann; Schule; Schule - Ort - Strausberg - V. Polytechnische Oberschule ""Valentina Nikolajewa-Tereschkowa""; Schule - Typ - Polytechnische Oberschule; Stadtdetail - Fahnenmasten; Stadtgestaltung - Neubaugebiet; Stempel - Tagesstempel - Strausberg; Tätigkeit - Gehen; Tätigkeit - Haar hochstecken; Tätigkeit - Lächeln; von: Strausberg",,Strausberg,"52.57859,13.88741",Bad Saarow,"52.291578,14.055805",6,1972,Germany
,Strausberg,"52.580833333333,13.881388888889",1972,STRAUSBERG // Am Straussee // Rest der alten Stadtmauer // Landhausstraße // An der Fähre,,Berlin,Graphokopie H.  Sander KG 1071 Berlin,B 8/72 B 3342,1970er; 1972; Archigrafie - Sparkasse; Autos; Badestelle; Badestrand; Bautyp - Altbau; Bezirk Frankfurt Oder; Kreis Strausberg; Natur - Bäume; Natur - Bäume - Birken; Ort - Strausberg; Ort - Strausberg - Landhausstraße; Ortsansicht; See - Straussee; Stadtmöbel - Sitzbank; Strandleben; Straße - Landhausstraße - Strausberg; Tätigkeit - Baden; Tätigkeit - Einsteigen; Tätigkeit - Motorradfahren; Tätigkeit - Sitzen; Verkehr - Auto - Trabant; Verkehr - Fähre; Verkehr - Motorrad; Verkehr - Motorradfahrer; Verkehr - Straßenbahn; Wand - Stadtmauer,,o.A.,,o.A.,,6,1972,Germany
,Strausberg,"52.580833333333,13.881388888889",1973,"Strausberg b. Berlin. Haus der NVA ""Club am See""",,Berlin,Planet-Verlag,A 4/73 606 02 05 09 278,1970er; 1973; Architektur; Architektur - Stil - Ostmoderne; Bezirk Frankfurt Oder; Bibliothek; Fotografie - Innenansicht; Kreis Strausberg; Kulturhaus; NVA; Ort - Strausberg,,o.A.,,o.A.,,6,1973,Germany
,Straußberg,"51.3872,10.7467",1980,STRAUSSBERG,Zentrales Pionierlager „Gehorhiu Dej“,Magdeburg,konsum  fotocolor magdeburg,N 2/80 IV-14-483 05 09 12 026 M,"1980; 1980er; Baudetail - Geländer; Bezirk Erfurt; Briefmarke - Aufbau in der DDR - Großformat - Neptunbrunnen und Wohnhochhaus, Rathausstraße, Berlin; Detail - Ehrenhain; Detail - Fahnen; Detail - Zelte; gelaufen - 1980 - 07 - 14; gelaufen 1980; gelaufen 1980er; Kleidung - Accessoire - Brille; Kleidung - Bademode; Kleidung - Turnhose; Kreis Sondershausen; Menschen - viele; nach: Berlin; Nachricht - Abschiedsformel - Viele Grüße; Nachricht - An die Großeltern; Nachricht - Anrede - Frau; Nachricht - Anredeformel - Liebe; Nachricht - Befinden - sehr gut; Nachricht - Ort - Dornheim; Nachricht - Sport; Nachricht - Sport - 60 Meter Lauf; Nachricht - Sport - Ballweitwurf; Nachricht - Sport - Schlu0sprung; Nachricht - Sport - Sportfest; Name - Astrid; Name - Walli; Natur - Bäume; Ort - Straussberg; Ort - Straussberg - Zentrales Pionierlager „Gehorhiu Dej“; Per - Walli Ducke; Philokartie - Eindruck - Logo konsum fotocolor magdeburg; Pionierlager; Pionierlager - Zentrales Pionierlager „Gehorhiu Dej“ Straussberg; Rundfunk - Hörspielstudio; Stempel - Tagesstempel - SONDERSHAUSEN 54 ad; Tätigkeit - Baden; Tätigkeit - Gehen; Tätigkeit - Plaudern; Tätigkeit - Schauen; Tätigkeit - Schwimmen; Tätigkeit - Zelten; von: Sondershausen",Kessner,Sondershausen,"51.366666666667,10.866666666667",Berlin,"52.516666666667,13.383333333333",6,1980,Germany
,Straußfurt,"51.166666666667,10.983055555556",1974,STRAUSSFURT // KR. SÖMMERDA,1 Kinderkrippe // 2 Bahnhof // 3 Wilhelm-Pieck-Oberschule // 4 Kindergarten,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),V 11 50 A 1/B 507/74 01 09 11 136,1970er; 1974; Baumaterial - Backstein; Baumaterial - Großplatte; Bezirk Erfurt; Detail - Abfallbehälter; Detail - Fenster - angekippt; Detail - Kinderwagen; Detail - Kopfsteinpflaster; Detail - Rückspiegel; Detail - Schild; Detail - Schild - Kinderkrippe Straussfurt; Detail - Zaun - Zierzaun; Fotografie - Perspektive; Kindergarten; Kindergarten - Ort - Straussfurt; Kinderkrippe; Kinderkrippe - Ort - Straussfurt; Kreis Sömmerda; Menschen - Kinder; Ort - Straussfurt; Ort - Straussfurt - Kinderkrippe; Ort - Straussfurt - Wilhelm-Pieck-Oberschule; Philokartie - Eindruck - Logo BILD UND HEIMAT; Schule; Schule - Ort - Straussfurt - Wilhelm-Pieck-Oberschule; Schulhof; Stadtnatur - Baum - Kugel; ungelaufen; Verkehr - Bahnhof; Verkehr - Bahnhof - Ort - Straussfurt; Verkehr - Bus,"Darr, [Bild und Heimat]",o.A.,,o.A.,,6,1974,Germany
,Straußfurt,"51.166666666667,10.983055555556",1980,STRAUSSFURT,1 An der Thälmann-Straße // Sparkasse und Kirche // 2 Konsum-Verkaufsstelle - 3 Kindergarten // 4 Wilhelm-Pieck-Oberschule,Magdeburg,konsum  fotocolor magdeburg,N 2/80 IV-14-483 05 09 11 016 M,1980; 1980er; Archigrafie - K Lebensmittel; Archigrafie - Sparkasse; Baudetail - Kirchturm; Baudetail - Mosaik; Baudetail - Schaufenster; Baudetail - Tor; Baudetail - Uhr; Baudetail - Wand; Baudetail - Wandbild; Bezirk Erfurt; Detail - Zaun; Einzelhandel - Art - Lebensmittel; Kindergarten; Kindergarten - Ort - Straussfurt; Kirche; Kirche - Ort - Straussfurt; Kleidung - Gürtel; Kleidung - Hose; Kleidung - Kittelschürze; Konsum - Ort - Straussfurt; Kreis Sömmerda; Kunst am Bau - BIldung; Menschen - 2; Menschen - 5; Menschen - Mutter mit Kind; Menschen - Personen - 1; Menschen - Schüler; Nachricht - Ansichtskartensammeln; Nachricht - Schule; Natur - Bäume; Ort - Straussfurt; Ort - Straussfurt - Kirche; Ort - Straussfurt - Konsum; Ort - Straussfurt - Thälmann-Straße; Ort - Straussfurt - Wilhelm-Pieck-Oberschule; Schule; Schule - Ort - Straussfurt - Wilhelm-Pieck-Oberschule; Schulhof; Sparkasse; Straße - Thälmann-Straße - Straussfurt; Tätigkeit - Aus dem Fenster Schauen; Tätigkeit - Fahrradfahren; Tätigkeit - Gehen; Uhr; Uhrzeit - 11:45; ungelaufen - beschrieben; Verkehrszeichen - Vorfahrt beachten,Gräser,o.A.,,o.A.,,1,1980,Germany
,Strehla,"51.353055555556,13.225833333333",1972,Strehla (Kr. Riesa). Erich-Weinert-Oberschule,,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),III/18/203 A 1/B 820 72  01 12 14 063,1970er; 1972; Architektur; Bezirk Dresden; Kreis Riesa; Künstler - Rudolf Sitte; Ort - Strehla; Ort - Strehla - Erich-Weinert-Oberschule; Schule; Schule - Ort - Strehla - Erich-Weinert-Oberschule,W. Lange (Leipzig),o.A.,,o.A.,,1,1972,Germany
,Suhl,"50.610555555556,10.693055555556",1960,"Kulturhaus ""7. Oktober"" Suhl",Foyer,Suhl,HO Foto-Labor,S 48/60,"1960; 1960er; Baudetail - Säulem; Bezirk Suhl; Detail - Aschenbecher; Detail - Aschenbecher - Glas; Detail - Zimmerpflanzen; Fotografie - Innenansicht; Kreis Suhl Stadt; Möbel - Sessel; Möbel - Tische; Ort - Suhl; Ort - Suhl - Kulturhaus ""7. Oktober""; Raumtyp - Foyer; ungelaufen",,o.A.,,o.A.,,1,1960,Germany
,Suhl,"50.610555555556,10.693055555556",1965,Suhl (Thür. Wald),Friedrich-Wolf-Straße,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),III/18/6 A 1/B 226/65 11/3389,1960er; 1965; Architektur - Stil - Typenbauweise; Bautyp - Neubaublöcke; Bezirk Suhl; Briefmarke - 1965 - 20. Jahrestag der Befreiung vom Faschismus - Gründer und Gründungsurkunde des Nationalkomitees Freies Deutschland; DDR - BRD; Detail - Balkone; Detail - Laternen; Fotografie - Perspektive; gelaufen 1960er; gelaufen 1965; Kreis Suhl Stadt; nach: Wuppertal; Nachricht - Fotos; Nachricht - Gesundheit - Fieber; Nachricht - Gesundheit - Fieber - nach Impfen; Nachricht - Gesundheit - Zähne kommen; Nachricht - Nachfrage; Nachricht - Nachfrage - Besuch; Nachricht - Nachfrage - Brief; Nachricht - Pfingsten; Name - Edmund; Name - Ralf; Ort - Suhl; Ort - Suhl - Friedrich-Wolf-Straße; Per - Edmund Schwarz; Stadtgestaltung - Neubaugebiet; Stadtnatur - Rasen; Stempel - Tagesstempel - Suhl; Straße - Friedrich-Wolf-Straße - Suhl; von: Suhl,Diener (Bild und Heimat),Suhl,"50.610555555556,10.693055555556",Wuppertal,"51.266666666667,7.1833333333333",1,1965,Germany
,Suhl,"50.610555555556,10.693055555556",1966,Suhl (Thür. Wald) // Haus der Gewerkschaften,,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),III/18/6 A 1/B 507/66 11/3385,1960er; 1966; Archigrafie - Haus der Gewerkschaften; Archigrafie - Signet FDGB; Architekt - Ehrenfried Schacke; Architekt - Gangolf Bernhard; Architekt - Hartmut Pfannschmidt; Architekt - Johannes Hierling; Architekt - Roland Schenk; Architektur; Architektur - Stil - Ostmoderne; Bezirk Suhl; FDGB; Kreis Suhl Stadt; Losungen; Ort - Suhl; Ort - Suhl - Haus der Gewerkschaften; Stadtmöbel - Pflanzgefäße; Verkehrszeichen - Parkverbot,Diener (Bild und Heimat),o.A.,,o.A.,,1,1966,Germany
,Suhl,"50.610555555556,10.693055555556",1967,"Interhotel ""Thüringen-Tourist"", Suhl",,Meiningen,Straub & Fischer Meiningen,V 11 50 S 4/67 6945,"1960er; 1967; Archigrafie; Archigrafie - Hotel; Archigrafie - Thüringen-Tourist; Architekt - Bernhard Keßler; Architekt - Günter Heubach; Architekt - Hans-Joachim Nessel; Architekt - Heinz Luther; Architekt - Peter Bochus; Architektur - Stil - Ostmoderne; Bezirk Suhl; Detail - Zimmerpflanzen; Fotografie - Nachtaufnahme; Hotel; Hotel - Ort - Suhl - Interhotel ""Thüringen-Tourist""; Kreis Suhl Stadt; Natur - Baum; Ort - Suhl; Ort - Suhl - Interhotel ""Thüringen-Tourist""; Spiegelung; ungelaufen",,o.A.,,o.A.,,1,1967,Germany
,Suhl,"50.610555555556,10.693055555556",1967,"Interhotel ""Thüringen-Tourist"", Suhl",Restaurant,Meiningen,Straub &  Fischer Meiningen,V 11 50 S 4/67 6946,"1960er; 1967; Baubezogene Kunst - Franz Kürschner - Zugvögel, Relief, Hotel ""Thüringen Tourist"" Suhl, 1965; Baubezogene Kunst - Günther Dührkop - Zugvögel, Relief, Hotel ""Thüringen Tourist"" Suhl, 1965; Baubezogene Kunst - Kurt Baumgarten - Zugvögel, Relief, Hotel ""Thüringen Tourist"" Suhl, 1965; Baudetail - Glastür; Bezirk Suhl; Briefmarke - 1967 -VII. Parteitag der Sozialistischen Einheitspartei Deutschlands (SED) (I) - Regelpult einer Chemieanlage, Kopfbilder von Marx, Engels und Lenin; Detail - Zimmerpflanzen; Fotografie - Innenaufnahme; Gastronomie - Art - Hotelrestaurant; gelaufen 1960er; gelaufen 1967; Innenarchitektur - Wandgestaltung; Kreis Suhl Stadt; Kunst am Bau; Kunst am Bau - Relief; Kunst am Bau - Vögel; Künstler - Franz Kürschner; Künstler - Franz Kürschner - Zugvögel, Relief, Hotel ""Thüringen Tourist"" Suhl, 1965; Künstler - Günther Dührkop; Künstler - Günther Dührkop - Zugvögel, Relief, Hotel ""Thüringen Tourist"" Suhl, 1965; Künstler - Kurt Baumgarten; Künstler - Kurt Baumgarten - Zugvögel, Relief, Hotel ""Thüringen Tourist"" Suhl, 1965; Möbel - Aschenbecher; Möbel - Blumentopf; Möbel - Sessel; Möbel - Stehlampe; Möbel - Tischdecken; nach: Renthendorf; Nachricht - Grüße - aus Suhl; Name - Ella; Name - Emil; Name - Willi; Ort - Suhl; Ort - Suhl - Interhotel ""Thüringen-Tourist""; Per - Emil Fritzsche; Restaurant - Interhotel ""Thüringen-Tourist"" - Suhl; Stempel - Tagesstempel - SUHL 1 g; Uhr; Uhrzeit - 13:10; von: Suhl",,Suhl,"50.610555555556,10.693055555556",Renthendorf,"50.8,11.96667",1,1967,Germany
,Suhl,"50.610555555556,10.693055555556",1968,Suhl (Thür. Wald) // Hochhaus,,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),V 11 50 A 1/B 233 68 11/3958,1960er; 1968; Architekt - Erhard Simon; Architekt - Hans Joachim Nessel; Architekt - Heinz Grimm; Architekt - Klaus Angermüller; Architektur - Stil - Ostmoderne; Autos; Bautyp - Hochhaus; Bezirk Suhl; Briefmarke - Staatsratsvorsitzender Walter Ulbricht 10 Pf; Detail - Laterne; gelaufen 1969; Kreis Suhl Stadt; Menschen - Personen - 1; nach: Dresden; Nachricht - Gesundheit; Nachricht - Grüße aus Thüringen; Nachricht - Hochhäuser; Nachricht - Ort - Oybin; Nachricht - Ort - Suhl; Nachricht - Wald; Ort - Suhl; Ort - Suhl - Hochhaus mit Reisebüro am Ernst-Thälmann-Platz; Pflanzschalen; Stempel - Tagesstempel - Suhl; Stempel - Werbestempel - 60 Jahre Suhl Jagdwaffen in alle Welt; Stützpfeiler; von: Suhl,"Dressel, Suhl",Suhl,"50.610555555556,10.693055555556",Dresden,"51.0493286,13.7381437",1,1968,Germany
,Suhl,"50.610555555556,10.693055555556",1968,"Wartburg - tourist // Der neue ""Wartburg""-tourist // ein neuer Fahrzeug-Typ aus dem // Eisenacher Automobilwerk",,Magdeburg,Gebr. Garloff,N 1/68 IV-14-45 B 838,"1960er; 1968; Archigrafie - THÜRINGEN; Architekt - Bernhard Keßler; Architekt - Günter Heubach; Architekt - Hans-Joachim Nessel; Architekt - Heinz Luther; Architekt - Peter Bochus; Architektur - Stil - Ostmoderne; Bezirk Suhl; Briefmarke - 1961 - Dauermarkenserie: Staatsratsvorsitzender Walter Ulbricht, 10 Pf. (grün) (Ersttag 29.08.1961); Detail - Laterne; Fotografie - Laub - von links; gelaufen 1970; Hotel; Hotel - Ort - Suhl - Interhotel ""Thüringen-Tourist""; Kennzeichen - KA 78-72; Kreis Suhl Stadt; Menschen - Personen - 3; nach: Cunewalde; Nachricht - Ankunft - gut; Nachricht - Dresden; Nachricht - Dresden - Prager Straße; Nachricht - Elbe; Nachricht - Familiäres; Nachricht - Verkehr; Nachricht - Verkehr - Verkehrsaufkommen; Name - Siglinde; Name - Werner; Ort - Suhl; Ort - Suhl - Interhotel ""Thüringen-Tourist""; Per - Werner Zeidler; Stempel - WILHELM-PIECK-STADT GUBEN 756 dd; Verkehr - Auto - Wartburg; von: Guben",,Guben,"51.95042,14.7143",Cunewalde,"51.1,14.51667",3,1968,Germany
,Suhl,"50.610555555556,10.693055555556",1969,Suhl II // Rathaus // Hochhäuser // HO Einkaufszentrum,,Meiningen,Straub & Fischer Meiningen,V 11 50 D 4/69,1960er; 1969; Bautyp - Altbau; Bautyp - Fachwerk; Bautyp - Hochhäuser; Bautyp - Neubaublöcke; Bautyp - Wohnhochhaus; Bezirk Suhl; Detail - Laterne; Einzelhandel; Einzelhandel - Art - Einkaufszentrum; Einzelhandel - Art - HO-Einkaufszentrum; Einzelhandel - Art - Kaufhalle; gelaufen 2020; Jahreszeit - Winter; Kreis Suhl Stadt; nach: Berlin; Natur - Baum - Tanne; Ort - Suhl; Ort - Suhl-Suhl II; Sammlung - Louis Volkmann; Schnee; von: Wernigerode,,Wernigerode,"51.835,10.785277777778",Berlin,"52.516666666667,13.383333333333",3,1969,Germany
,Suhl,"50.610555555556,10.693055555556",1970,CENTRUM-WARENHAUS / SUHL THÜR. // Terrassen-Café // Blick vom Terrassen-Café,,Meiningen,Straub &  Fischer Meiningen,V 11 50 S 4/70,1970; 1970er; Archigrafie - CENTRUM; Archigrafie - Hotel; Archigrafie - Reisebüro; Architekt -  Günter Heubach; Architekt -  Peter Bochus; Architekt - Fritz Popp; Architekt - Heinz Luther; Architekt - Johannes Derlig; Architekt - Richard Tautz; Architekt - Rolf Witte; Architekt - Ulrich Möckel; Autos; Baudetail - Wand - Strukturwand; Bezirk Suhl; Brunnen - Springbrunnen; Design; Einzelhandel; Einzelhandel - Art - CENTRUM Warenhaus; Einzelhandel - Art - Kaufhaus; Einzelhandel - Ort - Suhl - CENTRUM Warenhaus; Einzelhandel - Ort - Suhl - Terrassen-Café des CENTRUM Warenhaus Suhl; Fotografie - Panorama; Gastronomie; Gastronomie - Art - Café; Handel; Kirche; Kleidung - Hut; Kreis Suhl Stadt; Kunst am Bau - abstrakt; Künstler - Fritz Kühn; Künstler - Fritz Kühn - Leichtmetalle-Vorhangfassade CENTRUM Warenhaus Suhl; Menschen - Passanten; Möbel - Stühle; Natur - Bäume; Ort - Suhl; Ort - Suhl - CENTRUM-Warenhaus; Schild - Parkplatz; Strukturfassade; Tätigkeit - Café-Besuchen,,o.A.,,o.A.,,3,1970,Germany
,Suhl,"50.610555555556,10.693055555556",1970,"Suhl (Thür. Wald). Interhotel ""Thüringen-Tourist""",,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),III/18/6 A 1/B 492/70 11/4727,"1970; 1970er; Archigrafie; Archigrafie - Reisebüro; Archigrafie - Thüringen-Tourist; Architekt - Bernhard Keßler; Architekt - Hans Joachim Nessel; Architekt - Heinz Luther; Architekt - Peter Bochus; Architektur; Architektur - Stil - Ostmoderne; Bezirk Suhl; Briefmarke - 1961 - Dauermarkenserie: Staatsratsvorsitzender Walter Ulbricht, 10 Pf. (grün) (Ersttag 29.08.1961); Dienstleistung - Art - Reisebüro; Fotografie - Nachtaufnahme; Hotel; Hotel - Art - Interhotel; Hotel - Ort - Suhl - Interhotel ""Thüringen-Tourist""; Kreis Suhl Stadt; Natur - Bäume; Ort - Suhl; Ort - Suhl - Ernst-Thälmann-Platz; Straße - Ernst-Thälmann-Platz - Suhl",Janka (Suhl),o.A.,,o.A.,,3,1970,Germany
,Suhl,"50.610555555556,10.693055555556",1970,Suhl / Thür. Blick zum Centrum Warenhaus,,Meiningen,Straub &  Fischer Meiningen,V 11 50 S 4/70 Reg. Nr. 23,1970; 1970er; Architekt - Fritz Popp; Architekt - Heinz Luther; Architekt - Ulrich Möckel; Architektur; Baudetail - Vorhangfassade; Bautyp - Hochhaus; Bezirk Suhl; Einzelhandel - Art - CENTRUM Warenhaus; Kreis Suhl Stadt; Künstler - Fritz Kühn; Ort - Suhl; Stadtdetail - Laternen; Wohnungsbau,,o.A.,,o.A.,,3,1970,Germany
,Suhl,"50.610555555556,10.693055555556",1970,"Suhl/Thür. Wald. Warenhaus ""CENTRUM""",,Bad Salzungen,Auslese-Bild-Verlag Bad Salzungen,III/18/197 S 1/70 Echt Foto Su 15,1970; 1970er; Archigrafie - CENTRUM C; Architekt - Fritz Popp; Architekt - Heinz Luther; Architekt - Ulrich Möckel; Architektur; Architektur - Stil - Ostmoderne; Aufsteller - XX Jahre DDR; Baudetail - Schaufenster; Baudetail - Vorhangfassade; Bautyp - Hochhaus; Bezirk Suhl; Detail - Fahnen; Detail - Pfütze; Detail - Schatten; Detail - Schild - Eingang; Detail - Spiegelung; Einzelhandel - Art - CENTRUM Warenhaus; Einzelhandel - Ort - Suhl - CENTRUM Warenhaus; Kreis Suhl Stadt; Künstler - Fritz Kühn; Menschen - Passanten; Menschen - viele; Ort - Suhl; Ort - Suhl - CENTRUM-Warenhaus; Philokartie - Eindruck - DAMW; Philokartie - Eindruck - Logo AUSLESE BILD VERLAG; Stadtdetail - Brunnen; Stadtdetail - Laternen; Tätigkeit - Anstehen; Tätigkeit - Einkaufen; Tätigkeit - Gehen; Tätigkeit - Hand am Kopf; Tätigkeit - Schauen; Tätigkeit - Stehen; Wohnungsbau,,o.A.,,o.A.,,3,1970,Germany
,Suhl,"50.610555555556,10.693055555556",1971,Konsumgaststätte der Schießsportanlage // Suhl-Friedberg // Hauptgebäude // Zentraler Platz mit Schießhalle // Thür. Grillstube // Gaststätte,,Meiningen,Straub &  Fischer Meiningen,V 11 50 S 4/71,1970er; 1971; Architekt - Christoph Backhaus; Architekt - Eberhard Kühl; Architekt - Manfred Brückner; Architekt - Werner Schmidt; Architektur - Stil - Ostmoderne; Bezirk Suhl; Fotografie - Innenaufnahme; Gastronomie - Art - Grillstube; Gastronomie - Art - Konsum-Gaststätte; Gastronomie - Ort - Suhl - Konsumgaststätte der Schießsportanlage Suhl-Friedberg; Innenarchitektur; Konsum-Gaststätte - Konsumgaststätte der Schießsportanlage Suhl-Friedberg; Kreis Suhl Stadt; Möbel - Bilder; Möbel - Hängelampen; Möbel - modern; Möbel - rustikal; Natur - Wald; Ort - Suhl; Ort - Suhl - Schießsportanlage Suhl-Friedberg; Ort - Suhl-Friedberg; Raumtyp - Gastraum; Sport - Schießsport; Stadtdetail - Fahnenmasten; Stadtdetail - Pflanzschalen - Beton; Wandbild,,o.A.,,o.A.,,3,1971,Germany
,Suhl,"50.610555555556,10.693055555556",1971,Suhl (Thür. Wald),"Am Hotel ""Thüringen-Tourist""",Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),III/18/197 A 1/B 440/71 11/5079,"1970er; 1971; Archigrafie; Archigrafie - Reisebüro; Archigrafie - tourist; Bezirk Suhl; Gastronomie - Art - Außengastronomie; Hotel; Hotel - Ort - Suhl - Interhotel ""Thüringen-Tourist""; Kreis Suhl Stadt; Möbel - Stühle; Ort - Suhl; Ort - Suhl - Hotel ""Thüringen-Tourist""; Sammlung - Corinna Ernst; Stadtnatur - Bäume; Tätigkeit - Café-Besuchen; Tätigkeit - Servieren; Verkehrszeichen - Parkverbot","Hoffmann, [Oelsnitz (Erzgeb.)]",o.A.,,o.A.,,3,1971,Germany
